covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,0.01839101046789543,1.0185611666147856,0.009431098684026307,-9.36032874392298e-05,0.03687562422323009,0.9999064010932117,1.0375639649885187,0.0,1.9500390234538374,0.05117146803771912,4.288516566933772
is_male,-0.2502907078502087,0.7785744124754662,0.18905322913300115,-0.6208282281118895,0.12024681241147211,0.5374990813425661,1.1277751661405724,0.0,-1.3239165974474112,0.18553074533292158,2.4302698112009495
stage_II,0.9319981882728445,2.5395786673446787,0.2337903602636213,0.4737775022235026,1.3902188743221864,1.6060496048045465,4.015728896752889,0.0,3.986469703977214,6.706368649697658e-05,13.864108684047066
stage_III,1.466349442772863,4.33338695424264,0.2340559385872451,1.0076082327741438,1.925090652771582,2.7390420234112534,6.855770132293749,0.0,6.2649529493834075,3.7293799559352506e-10,31.320345159909348
stage_IV,1.3010865351747887,3.6732856542100327,0.34872131097087233,0.6176053250302864,1.984567745319291,1.8544818391239357,7.275901663075538,0.0,3.731021002279567,0.00019070532275378314,12.356367268445606
