,0
LINGO2,1.511155116678989e-07
EPGN,2.2602711309622903e-06
DKK1,2.4299031955286532e-06
CD109,3.523769314175105e-06
LOC441869,3.525883885485184e-06
IRX5,1.4383539560590943e-05
DNAH2,2.6272484379824257e-05
INPP5J,3.129069733147616e-05
FGF5,3.8884688597551994e-05
NTSR1,4.223933009228449e-05
KRT6C,4.340591864499079e-05
RGS20,4.679806647019968e-05
NKX2-1,6.177175943795175e-05
SLC47A1,6.476593899013197e-05
IGFBP1,7.208978460278925e-05
CLEC18A,8.550420909199306e-05
CXCL17,8.855005871964674e-05
DNAJB13,9.581397473708784e-05
SIX1,9.875111802465338e-05
BZRAP1,0.00012648737794132193
CLIC6,0.00013089240354783178
GPR172B,0.000133624868195482
RTL1,0.0001379398842852791
SLC4A8,0.00016324738859959629
PNPLA7,0.00018488429035859444
KRT6A,0.00018916031641621683
CDH26,0.00020484958940619288
DNALI1,0.00022252361573058303
PPP1R3G,0.000229019365158315
RHCG,0.00023957312904623158
IDO2,0.0002441493839723406
CHAD,0.0002766615493549887
GPC6,0.0003090654653159918
C20orf197,0.00031659190599783905
CMAH,0.0003406133117041896
GDF15,0.00034846893477273496
GADD45G,0.0003573961548469404
MUC20,0.0003772346018662249
SDK1,0.00039837603948512495
GABRA2,0.00041176469004193213
GYLTL1B,0.0004163690777272901
HABP2,0.00043131918720304646
FLNC,0.000440218190793796
C12orf39,0.0004643915736530937
SLC24A5,0.0004685825227490827
WFDC2,0.0004702150935865509
KLHDC7A,0.00047277770559002555
LOC283070,0.0004942618193202586
BAIAP3,0.0005112092082416246
SFTA3,0.0005207311938353302
ELF5,0.0005388608943918284
TMEM45B,0.0005440006769961459
KRT6B,0.0005507064549030484
ARNTL2,0.0005624563633302872
MEP1A,0.0006125674806288633
CAMK1D,0.0006176496575603086
GLS2,0.0006524253041836979
CCDC151,0.0006544035738473892
C1QL2,0.0006562737664234934
CCDC40,0.0006755917372430136
IGF2BP1,0.0007039058533641725
BPIL1,0.000721692048197104
PDE6B,0.0007413162175960468
C19orf36,0.0007562473451269534
C11orf92,0.0007983747313064007
CHST5,0.0007995514040605546
SFTPB,0.0008200095602070344
C9orf173,0.0008399571466377185
ESYT3,0.0008936759617850456
NTS,0.0009275079104049787
CREG2,0.0009473906601094008
AMT,0.0009556651495163605
CRHR2,0.000984813651363053
GGT3P,0.0010524079067677744
FSCN1,0.001082867402936887
PCP2,0.0010867367635498078
AKAP12,0.0011094939255883115
TTC16,0.001127117893063568
SH3TC2,0.0011356077783820015
CCDC153,0.001154095558630994
HS3ST2,0.001168625848607609
NOXA1,0.0012117923274832679
LRRC10B,0.0012212811030174995
C9orf128,0.0012486140892461414
NAPSA,0.0013051315766594571
C11orf93,0.0013642698020111625
KLHDC9,0.0013715252544261249
TNNC2,0.0013918004630777369
KIAA1324,0.0014043527704704032
FOXL2,0.0014291909527613593
SLC44A4,0.0014345404683613824
CIDEC,0.001441040090389366
CLDN3,0.0014950088664477722
KCNF1,0.0015354041859188916
RRN3P1,0.0015628857601034053
C10orf81,0.0015777205255130748
PCDH7,0.0015977340455670473
CARNS1,0.0016064523041495033
BEST4,0.0016067897678879064
LMO3,0.001622652297075541
CNGA3,0.0016832494872233757
SRCIN1,0.0016888625928607808
EPHX1,0.0017056952243371505
FRMPD2,0.0017335210766361805
KLHL32,0.001760260078126617
BEGAIN,0.0017977428334932939
TRPA1,0.0018189292838708974
ACSM5,0.0018265674870588263
GOLGA2B,0.001999766549505066
CASP14,0.0020456106570777973
KRT14,0.002079236147409352
IGFALS,0.0020961377210900467
ASAM,0.0021275488205047357
PHLDB2,0.002141427906947841
C1orf168,0.002201909457734947
COL4A6,0.002287222237486721
CCDC114,0.002413141613021921
ZNF682,0.002425080334960999
SULT1C2,0.0024619386390805987
FAM83B,0.00252666175847852
CAPS,0.0025965141972286248
ANO3,0.0026073843109788507
KLHL4,0.0026085312685113315
TSPAN11,0.002680425068748577
PARP15,0.0026885768848812484
UNC5D,0.0027007606122029792
WNK2,0.002724479640964075
TMPRSS2,0.002729040093551975
CNTN3,0.0027515662883213898
ALX1,0.002754527271800158
ALOX15B,0.002797545704854829
KLK11,0.002807122046618191
FAM178B,0.002814189591300099
LOXL2,0.0028184291597644104
CKMT2,0.002993473992896635
SLC26A5,0.0030363737980612384
ADH7,0.0030466505737665223
FAM179A,0.003111823125248039
EREG,0.0031205086352800054
MAL,0.0031225649988078515
FOSL1,0.0031429325618769254
CPXM2,0.0031568523366728276
KCNG1,0.003174170802240495
MS4A1,0.0031914418542382974
RIBC1,0.0032308768603057677
DSG3,0.0033065173671767666
SPAG8,0.0033250397024921427
RSPO3,0.0033403534582010235
HAS2,0.0034033921705869065
CTSH,0.003598750110900943
PNMA2,0.0036135236715407683
UMODL1,0.003618387005057733
ESPN,0.0036328338235286904
ST6GALNAC1,0.0036385659561890644
CAPN13,0.0037351735210525267
COL9A2,0.003738898370094129
STC1,0.003810620567228836
TTC25,0.0038228187416184914
HTRA4,0.003855591111668711
SLC34A2,0.003868255328707973
SH2D5,0.0038696850873949536
C16orf89,0.0038890716116965597
FCAMR,0.003908503535442827
LOC284276,0.003992584078060356
SHISA2,0.0040041526561424325
FST,0.0040270359122024195
TEX15,0.0041432518920788775
MST1,0.004215569201241456
C21orf128,0.004246189894362556
TTC18,0.004248385205715244
SLC16A1,0.004347683406344652
EFHC2,0.004427908302324681
P2RX1,0.004626297142816926
CYP2D6,0.004630534117997361
TRPC2,0.0046335195155949105
KRT15,0.004754649067119992
SERPINB5,0.004790966589711688
CBFA2T3,0.004843316628214626
GJB3,0.004963438895676143
TMEM151B,0.004972679157091062
DNAH5,0.00498692065556504
C16orf74,0.005010999552158047
